10155,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10158,MEDIUM,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,LOW,NO
10160,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,LOW,LOW,NO MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
10162,HIGH,10+ years,MORTGAGE,HIGH,other,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
10164,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10165,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
10180,MEDIUM,2 - 5 years,RENT,HIGH,wedding,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
10184,LOW,< 2 years,MORTGAGE,MEDIUM,home_improvement,HIGH,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10187,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10189,MEDIUM,2 - 5 years,OWN,LOW,debt_consolidation,HIGH,HIGH,YES,NEVER,FEW,NO,MEDIUM,NO
10196,MEDIUM,6 - 9 years,MORTGAGE,HIGH,car,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
10197,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
10198,HIGH,10+ years,MORTGAGE,HIGH,small_business,LOW,AVERAGE,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
10201,LOW,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
10203,HIGH,10+ years,RENT,MEDIUM,credit_card,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10204,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,LOW,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
10213,MEDIUM,2 - 5 years,OWN,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10219,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,HIGH,YES,IN PAST 2 YEARS,AVERAGE,NO,LOW,NO
10220,MEDIUM,< 2 years,MORTGAGE,MEDIUM,small_business,HIGH,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,HIGH,NO
10226,LOW,2 - 5 years,RENT,MEDIUM,other,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
10227,LOW,2 - 5 years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
10230,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,HIGH,NO,NEVER,FEW,NO,MEDIUM,NO
10240,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,LOW,LOW,YES,NEVER,AVERAGE,NO,MEDIUM,NO
10248,LOW,2 - 5 years,MORTGAGE,MEDIUM,other,AVERAGE,HIGH,YES,NEVER,FEW,NO,MEDIUM,NO
10249,MEDIUM,< 2 years,RENT,MEDIUM,other,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10250,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
10254,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,LOW,NO
10256,LOW,6 - 9 years,RENT,LOW,car,HIGH,LOW,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10257,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10262,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,YES,MEDIUM,YES
10268,MEDIUM,10+ years,MORTGAGE,HIGH,other,LOW,HIGH,YES,NEVER,FEW,NO,LOW,NO
10272,LOW,10+ years,MORTGAGE,MEDIUM,debt_consolidation,LOW,LOW,YES,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10274,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,MANY,NO,HIGH,NO
10277,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
10280,MEDIUM,10+ years,MORTGAGE,HIGH,home_improvement,LOW,LOW,YES,IN PAST 2 YEARS,FEW,NO,MEDIUM,NO
10282,HIGH,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10294,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10295,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,credit_card,AVERAGE,HIGH,NO,NEVER,FEW,NO,LOW,NO
10299,MEDIUM,< 2 years,OWN,LOW,debt_consolidation,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
10300,MEDIUM,10+ years,RENT,MEDIUM,other,LOW,HIGH,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
10302,LOW,2 - 5 years,OWN,LOW,other,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,LOW,NO
10304,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
10311,MEDIUM,2 - 5 years,RENT,LOW,major_purchase,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10313,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
10322,MEDIUM,2 - 5 years,RENT,LOW,small_business,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10325,MEDIUM,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10328,MEDIUM,< 2 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,NO,IN PAST 2 YEARS,FEW,NO,HIGH,NO
10331,HIGH,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10339,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10343,LOW,< 2 years,RENT,HIGH,car,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
10347,HIGH,10+ years,MORTGAGE,MEDIUM,small_business,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10351,MEDIUM,6 - 9 years,MORTGAGE,HIGH,major_purchase,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
10353,HIGH,10+ years,OWN,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10361,MEDIUM,6 - 9 years,RENT,LOW,other,HIGH,LOW,YES MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
10363,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
10364,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10365,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,other,HIGH,AVERAGE,YES,IN PAST 2 YEARS,AVERAGE,YES,MEDIUM,YES
10368,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
10370,MEDIUM,10+ years,RENT,LOW,debt_consolidation,AVERAGE,HIGH,NO,NEVER,MANY,NO,LOW,NO
10371,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
10372,MEDIUM,2 - 5 years,MORTGAGE,LOW,other,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,LOW,NO
10379,HIGH,unemployed,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
10388,HIGH,6 - 9 years,MORTGAGE,HIGH,small_business,LOW,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10394,MEDIUM,2 - 5 years,RENT,LOW,car,LOW,HIGH,NO MORE THAN 2 YEARS AGO,FEW,NO,LOW,NO
10398,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,LOW,NO
10411,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
10416,MEDIUM,< 2 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10422,MEDIUM,2 - 5 years,MORTGAGE,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
10427,MEDIUM,< 2 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10431,HIGH,10+ years,MORTGAGE,MEDIUM,other,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
10438,LOW,6 - 9 years,MORTGAGE,MEDIUM,small_business,LOW,HIGH,YES,NEVER,FEW,NO,LOW,NO
10444,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
10446,HIGH,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
10447,HIGH,10+ years,MORTGAGE,MEDIUM,other,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
10450,LOW,2 - 5 years,MORTGAGE,MEDIUM,major_purchase,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10451,LOW,< 2 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
10456,LOW,6 - 9 years,MORTGAGE,MEDIUM,other,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
10457,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,HIGH,LOW,YES,NEVER,AVERAGE,YES,MEDIUM,YES
10459,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO
10462,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10468,LOW,2 - 5 years,RENT,LOW,home_improvement,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10470,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,LOW,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
10474,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10483,HIGH,6 - 9 years,MORTGAGE,HIGH,moving,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
10487,HIGH,< 2 years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
10488,MEDIUM,< 2 years,MORTGAGE,HIGH,home_improvement,AVERAGE,AVERAGE,YES,IN PAST 2 YEARS,MANY,NO,LOW,NO
10489,LOW,10+ years,RENT,MEDIUM,moving,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10496,LOW,2 - 5 years,RENT,LOW,major_purchase,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
10500,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
10504,LOW,2 - 5 years,MORTGAGE,LOW,credit_card,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
10505,LOW,< 2 years,RENT,MEDIUM,credit_card,HIGH,HIGH,YES,NEVER,AVERAGE,NO,MEDIUM,NO
10510,LOW,10+ years,MORTGAGE,HIGH,debt_consolidation,HIGH,HIGH,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10514,MEDIUM,2 - 5 years,MORTGAGE,LOW,home_improvement,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10522,LOW,10+ years,MORTGAGE,LOW,small_business,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10530,MEDIUM,10+ years,OWN,HIGH,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10533,LOW,2 - 5 years,RENT,LOW,major_purchase,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,LOW,NO
10534,HIGH,2 - 5 years,MORTGAGE,HIGH,home_improvement,LOW,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
10542,HIGH,unemployed,RENT,MEDIUM,credit_card,HIGH,HIGH,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10544,LOW,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
10547,HIGH,< 2 years,MORTGAGE,MEDIUM,home_improvement,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
10552,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,HIGH,YES,NEVER,FEW,NO,LOW,NO
10555,MEDIUM,10+ years,OWN,HIGH,other,HIGH,LOW,NO,NEVER,MANY,NO,HIGH,NO
10559,MEDIUM,2 - 5 years,MORTGAGE,HIGH,wedding,AVERAGE,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
10565,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
10577,MEDIUM,10+ years,RENT,MEDIUM,other,HIGH,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10578,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,small_business,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,LOW,NO
10585,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
10587,LOW,2 - 5 years,MORTGAGE,LOW,debt_consolidation,AVERAGE,LOW,YES,NEVER,FEW,NO,HIGH,NO
10588,LOW,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10591,MEDIUM,6 - 9 years,MORTGAGE,HIGH,credit_card,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10592,LOW,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
10597,LOW,2 - 5 years,RENT,LOW,small_business,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,LOW,NO
10598,HIGH,10+ years,MORTGAGE,LOW,small_business,LOW,HIGH,YES,NEVER,FEW,NO,LOW,NO
10601,HIGH,10+ years,OWN,HIGH,debt_consolidation,AVERAGE,LOW,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
10608,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,NO,NEVER,AVERAGE,NO,HIGH,NO
10613,LOW,< 2 years,MORTGAGE,MEDIUM,small_business,HIGH,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10614,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
10615,LOW,< 2 years,RENT,LOW,debt_consolidation,LOW,LOW,YES MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
10618,LOW,10+ years,MORTGAGE,MEDIUM,credit_card,LOW,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,YES,MEDIUM,YES
10619,LOW,2 - 5 years,MORTGAGE,LOW,home_improvement,LOW,AVERAGE,YES,NEVER,FEW,NO,LOW,NO
10623,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,NO,IN PAST 2 YEARS,FEW,NO,HIGH,NO
10628,LOW,10+ years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,HIGH,NO
10637,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,HIGH,AVERAGE,YES,IN PAST 2 YEARS,MANY,NO,LOW,NO
10641,MEDIUM,6 - 9 years,MORTGAGE,HIGH,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
10642,LOW,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,HIGH,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10646,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10647,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10649,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,HIGH,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10650,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10651,MEDIUM,2 - 5 years,RENT,MEDIUM,major_purchase,LOW,AVERAGE,NO,IN PAST 2 YEARS,FEW,NO,LOW,NO
10655,MEDIUM,2 - 5 years,RENT,MEDIUM,small_business,HIGH,HIGH,YES,IN PAST 2 YEARS,AVERAGE,NO,LOW,NO
10657,MEDIUM,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10658,HIGH,10+ years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10659,MEDIUM,< 2 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10660,HIGH,< 2 years,RENT,HIGH,small_business,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10663,HIGH,10+ years,OWN,MEDIUM,other,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
10667,MEDIUM,< 2 years,MORTGAGE,HIGH,debt_consolidation,HIGH,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,LOW,NO
10669,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
10679,HIGH,10+ years,MORTGAGE,LOW,home_improvement,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,LOW,NO
10680,MEDIUM,10+ years,RENT,LOW,other,LOW,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
10687,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,YES,NEVER,AVERAGE,YES,HIGH,NO
10698,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
10702,MEDIUM,< 2 years,RENT,LOW,car,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10703,LOW,< 2 years,RENT,LOW,small_business,HIGH,AVERAGE,NO,NEVER,AVERAGE,YES,LOW,YES
10704,LOW,unemployed,MORTGAGE,MEDIUM,other,HIGH,HIGH,YES,NEVER,MANY,NO,MEDIUM,NO
10705,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,wedding,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10709,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
10710,MEDIUM,< 2 years,RENT,MEDIUM,car,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
10714,LOW,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,NO,NEVER,FEW,NO,HIGH,NO
10718,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
10720,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,credit_card,LOW,AVERAGE,NO,NEVER,AVERAGE,YES,MEDIUM,YES
10727,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10728,LOW,6 - 9 years,RENT,HIGH,other,LOW,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10733,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
10734,HIGH,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
10736,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,HIGH,NO
10740,MEDIUM,< 2 years,RENT,HIGH,small_business,LOW,AVERAGE,NO,IN PAST 2 YEARS,FEW,NO,HIGH,NO
10757,MEDIUM,10+ years,RENT,LOW,small_business,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
10761,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
10764,MEDIUM,6 - 9 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
10766,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,other,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
10769,HIGH,< 2 years,MORTGAGE,MEDIUM,credit_card,AVERAGE,LOW,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
10775,LOW,6 - 9 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
10776,HIGH,6 - 9 years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10780,LOW,10+ years,MORTGAGE,MEDIUM,other,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
10783,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10785,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
10786,MEDIUM,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,LOW,LOW,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
10788,LOW,2 - 5 years,RENT,LOW,major_purchase,AVERAGE,LOW,YES,NEVER,FEW,NO,MEDIUM,NO
10791,MEDIUM,2 - 5 years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
10793,MEDIUM,6 - 9 years,MORTGAGE,HIGH,major_purchase,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
10794,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
10797,MEDIUM,6 - 9 years,RENT,MEDIUM,medical,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10799,LOW,2 - 5 years,RENT,LOW,moving,LOW,LOW,YES,NEVER,FEW,NO,HIGH,NO
10805,LOW,unemployed,RENT,LOW,other,AVERAGE,HIGH,YES,NEVER,FEW,NO,MEDIUM,NO
10809,LOW,10+ years,RENT,MEDIUM,major_purchase,AVERAGE,HIGH,NO,NEVER,FEW,NO,MEDIUM,NO
10816,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,major_purchase,AVERAGE,HIGH,NO,NEVER,FEW,NO,LOW,NO
10822,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
10827,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
10830,LOW,2 - 5 years,MORTGAGE,LOW,small_business,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10831,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,MEDIUM,NO
10834,HIGH,6 - 9 years,RENT,MEDIUM,small_business,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
10835,MEDIUM,unemployed,MORTGAGE,MEDIUM,small_business,LOW,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
10839,MEDIUM,< 2 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
10843,HIGH,10+ years,RENT,MEDIUM,small_business,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
10845,HIGH,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
10851,MEDIUM,6 - 9 years,OWN,LOW,debt_consolidation,LOW,AVERAGE,YES,NEVER,FEW,NO,LOW,NO
10863,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
